balcony,build_year,building_material,condition,floor_area,floor_info,floors,heating_type,house_info,lift,location,lot_owned,lot_size,maintenance,price,property_type,sauna,municipality,kitchen_type,balcony_type,floors_info,floor_num,park_space_type,address,postcode,Unit maintenance cost
Asunnossa on parveke,2018.0,concrete,good,51.0,4/6,6,"Kaukolämpö, vesikiertoinen lattialämmitys",3h + k + kph + las.parv,True,"kummelivuorentie 15 b 46,, ,02330",False,,"368,53 € / kk",239000.0,apartment,Taloyhtiössä on sauna,ESPOO,kitchen,glassed-in balcony,,4,,kummelivuorentie 15 b 46,02330,368.0
,2018.0,concrete,good,57.0,1/1,1,"Sähkölämmitys,koneellinen ilmanvaihto, poistoilmalämpöpumppu",3h + k + kh + s,False,"perustajantie 6,, ,02920 espoo",False,2534.0,"795,15 € / kk",228000.0,terraced house,Asunnossa on sauna,ESPOO,kitchen,,1.0,1,,perustajantie 6,02920,795.0
Asunnossa on parveke,1983.0,concrete,good,79.5,3/3,3,Kaukolämpö,3-4h + keittiö + kph + lasitettu parveke,False,"maininkitie 2,, ,02320",True,6117.0,"360,31 € / kk",219000.0,apartment,Asunnossa ei ole saunaa,ESPOO,kitchen,glassed-in balcony,,3,,maininkitie 2,02320,360.0
Asunnossa on parveke,2018.0,concrete,good,28.0,5/16,16,"Kaukolämpö, vesikeskuslämmitys, vesikiertoinen patterilämmitys.",1h + kt + ranskalainen parveke,True,"runoratsunkatu 3 a,, ,02600",True,2731.0,"112,00 € / kk",184900.0,apartment,,ESPOO,kitchenette,glassed-in balcony,,5,,runoratsunkatu 3 a,02600,112.0
,1975.0,concrete,good,95.0,1/2,2,Kaukolämpö,5h + k,False,"rajamännynkuja 5,, ,02710 espoo",True,5812.0,"427,50 € / kk",209625.0,apartment,Taloyhtiössä on sauna,ESPOO,kitchen,,,1,,rajamännynkuja 5,02710,427.0
Asunnossa on parveke,1973.0,concrete,good,55.5,3/3,3,Kaukolämpö,2h + k + kph + vh + parveke,False,"kuunkatu 11,, ,02210",True,5588.0,"506,16 € / kk",215000.0,apartment,Asunnossa ei ole saunaa,ESPOO,kitchen,glassed-in balcony,,3,,kuunkatu 11,02210,506.0
,1990.0,concrete,good,300.0,1/1,1,"Maalämpö,Kustannukset: n.350€/kk",8h + k + viherhuone + sauna + khh + ullakko + kellari,False,"kunnarlantie 13,, ,02740",True,,,798000.0,detached house,Asunnossa on sauna,ESPOO,kitchen,,2.0,1,Carport,kunnarlantie 13,02740,
,1971.0,concrete,good,99.5,3/4,4,Kaukolämpö,4 h + k + khh + kph ja terassi,False,"soukankuja 2,, ,02360 espoo",True,2415.0,"812,92 € / kk",250000.0,apartment,Taloyhtiössä on sauna,ESPOO,kitchen,,,3,,soukankuja 2,02360,812.0
Asunnossa on parveke,1979.0,concrete,mediocre,69.0,6/7,7,Kaukolämpö,3h + k + kph + lasitettu parveke,True,"sokinsuontie 3 a,, ,02760",True,5472.0,"196,03 € / kk",119500.0,apartment,,ESPOO,kitchen,glassed-in balcony,,6,,sokinsuontie 3 a,02760,196.0
Asunnossa on parveke,2014.0,concrete,good,92.0,4/5,5,Kaukolämpö,4h + k + kph + s + wc + 2lasitp.,True,"adjutantinkatu 2,, ,02650 espoo",False,3434.0,"571,32 € / kk",419000.0,apartment,Asunnossa on sauna,ESPOO,kitchen,glassed-in balcony,,4,,adjutantinkatu 2,02650,571.0
Asunnossa on parveke,1964.0,concrete,good,54.0,2/3,3,Kaukolämpö,2h + k + las.parv,False,"armas launiksen katu 12 b 13,, ,02650",True,,"297,00 € / kk",234000.0,apartment,Taloyhtiössä on sauna,ESPOO,kitchen,glassed-in balcony,,2,,armas launiksen katu 12 b 13,02650,297.0
,,concrete,good,51.0,1/1,1,"Maalämpö, vesikiertoinen lattialämmitys",2h + k + s + var,False,"herastuomarintie 7,, ,02770",True,,,295800.0,terraced house,Asunnossa on sauna,ESPOO,kitchen,,1.0,1,,herastuomarintie 7,02770,
Asunnossa on parveke,1997.0,concrete,mediocre,88.5,2/7,7,Vesikeskuslämmitys.,4h + k + kph + khh + erillis wc + s + p.,True,"sokerilinnantie 1,, ,02600 espoo",True,1537.0,"451,35 € / kk",342000.0,apartment,Asunnossa on sauna,ESPOO,kitchen,glassed-in balcony,,2,,sokerilinnantie 1,02600,451.0
,2008.0,concrete,good,85.0,1/2,2,Kaukolämpö,3h + k + s,False,"eestinmalmi 14 f 21,, ,02280",True,13534.0,"280,50 € / kk",365000.0,row house,,ESPOO,kitchen,,,1,,eestinmalmi 14 f 21,02280,280.0
Asunnossa on parveke,2020.0,concrete,good,126.0,1/2,2,Maalämpö,4-5h + k + khh + s + wc ja varasto + ak,False,"seunapolku 6 a 1,, ,02320 espoo",True,,,530000.0,terraced house,Asunnossa on sauna,ESPOO,kitchen,glassed-in balcony,2.0,1,Carport,seunapolku 6 a 1,02320,
Asunnossa on parveke,2006.0,concrete,good,115.0,1/2,2,Kaukolämpö,4h + k + s + aula + parveke,False,"peuramäentie 2,, ,02750 espoo",True,10466.0,"391,00 € / kk",468000.0,terraced house,Asunnossa on sauna,ESPOO,kitchen,glassed-in balcony,,1,,peuramäentie 2,02750,391.0
Asunnossa on parveke,2018.0,concrete,good,84.0,1/2,2,Kaukolämpö,5h + kt + 2 x wc + piha,False,"tillinmäentie 35,, ,02330 espoo",False,,"474,60 € / kk",349000.0,detached house,Taloyhtiössä on sauna,ESPOO,kitchenette,glassed-in balcony,,1,,tillinmäentie 35,02330,474.0
Asunnossa on parveke,1972.0,concrete,good,69.0,2/4,4,Kaukolämpö,2 h + k,False,"soukankaari 3,, ,02360 espoo",True,5920.0,"451,50 € / kk",198700.0,apartment,Taloyhtiössä on sauna,ESPOO,kitchen,glassed-in balcony,,2,,soukankaari 3,02360,451.0
Asunnossa on parveke,2011.0,brick,good,64.5,6/6,6,,3h + kt + s,True,"piispanpiha 4 c27,, ,02200",True,,"763,54 € / kk",363500.0,apartment,Asunnossa on sauna,ESPOO,kitchenette,glassed-in balcony,6.0,6,,piispanpiha 4 c27,02200,763.0
