district,apartment_type,property_type,floor_area,price,price_m2,build_year,floor,elevator,condition,plot,energy_class,date_scrape,municipaliy
,,,,,,,,,,,,20/02/2021,https://asuntojen.hintatiedot.fi/haku/?c=Espoo&cr=1&t=3&l=0&z=0&search=1&sf=0&so=a
Leppävaara,"1h, kk, kph, pa...",kt,"25,00",146000,5840,1963,2/4,ei,tyyd.,oma							,E,20/02/2021,https://asuntojen.hintatiedot.fi/haku/?c=Espoo&cr=1&t=3&l=0&z=0&search=1&sf=0&so=a
Haukilahti,1h+kk+kph+p,kt,"25,00",170000,6800,1965,4/4,on,hyvä,oma							,D,20/02/2021,https://asuntojen.hintatiedot.fi/haku/?c=Espoo&cr=1&t=3&l=0&z=0&search=1&sf=0&so=a
Tapiola,"1h, kk, kph, ra...",kt,"28,00",210000,7500,1964,5/5,on,hyvä,oma							,E,20/02/2021,https://asuntojen.hintatiedot.fi/haku/?c=Espoo&cr=1&t=3&l=0&z=0&search=1&sf=0&so=a
Soukka,"1h, k, kph, las...",kt,"31,00",145000,4677,1974,8/9,on,hyvä,oma							,D,20/02/2021,https://asuntojen.hintatiedot.fi/haku/?c=Espoo&cr=1&t=3&l=0&z=0&search=1&sf=0&so=a
Tapiola,"1h, k, kph, vh ...",kt,"41,00",216356,5277,1958,2/4,ei,tyyd.,oma							,E,20/02/2021,https://asuntojen.hintatiedot.fi/haku/?c=Espoo&cr=1&t=3&l=0&z=0&search=1&sf=0&so=a
Kauklahti,1h+avokeitti...,kt,"27,00",146500,5426,2019,1/4,on,hyvä,vuokra							,C,20/02/2021,https://asuntojen.hintatiedot.fi/haku/?c=Espoo&cr=1&t=3&l=0&z=0&search=1&sf=0&so=a
Olari,"1h, kk, kph, vh...",kt,"34,50",131000,3797,1972,8/9,on,tyyd.,oma							,F,20/02/2021,https://asuntojen.hintatiedot.fi/haku/?c=Espoo&cr=1&t=3&l=0&z=0&search=1&sf=0&so=a
Tapiola,"1h, kk,kph",kt,"29,50",233500,7915,1959,2/5,on,hyvä,oma							,G,20/02/2021,https://asuntojen.hintatiedot.fi/haku/?c=Espoo&cr=1&t=3&l=0&z=0&search=1&sf=0&so=a
Kuurinniitty,1h+avok+piha (y...,kt,"30,00",130000,4333,2015,1/2,ei,hyvä,vuokra							,C,20/02/2021,https://asuntojen.hintatiedot.fi/haku/?c=Espoo&cr=1&t=3&l=0&z=0&search=1&sf=0&so=a
Olari,1h+kt+lasitettu...,kt,"32,50",206279,6347,2021,2/5,ei,hyvä, 							,B,20/02/2021,https://asuntojen.hintatiedot.fi/haku/?c=Espoo&cr=1&t=3&l=0&z=0&search=1&sf=0&so=a
